Duration	Worker	LocalStep	GlobalStep	Loss	ExamplesPerSec
21.2020061016	0	10	10	4.63498	60.3716456766
19.277203083	0	20	35	4.47501	66.3996739821
24.502478838	0	30	75	4.27564	52.2396125088
8.71233010292	0	40	95	4.21997	146.918216468
209.817184925	0	50	143	4.07586	6.10054891575
83.307737112	0	60	185	4.08294	15.3647193451
135.808278799	0	70	234	3.85322	9.42505133942
67.6360120773	0	80	271	4.08802	18.9248295499
73.907752037	0	90	317	4.01997	17.3188869194
8.13691592216	0	100	355	3.90195	157.307757908
64.409044981	0	110	379	3.66044	19.8729852364
30.7922019958	0	120	411	3.82564	41.5689660705
12.6625001431	0	130	438	3.54738	101.085882372
7.96492695808	0	140	480	4.02271	160.704549676
37.5752248764	0	150	505	3.74339	34.0649990575
69.8215332031	0	160	542	3.45578	18.3324533461
13.5356709957	0	170	584	3.65457	94.5649462376
48.8846478462	0	180	624	3.85779	26.1840896149
75.7509281635	0	190	679	3.30878	16.8974827244
18.3977270126	0	200	725	3.29987	69.573811978
5.96775388718	0	210	755	3.40191	214.486056932
21.9190890789	0	220	788	3.41792	58.3965873487
27.9620029926	0	230	823	3.4231	45.7764059441
48.5081930161	0	240	875	3.17705	26.38729502
57.287719965	0	250	903	3.23453	22.3433573684
5.5388250351	0	260	927	3.17687	231.095943975
25.4181108475	0	270	959	3.02407	50.3577943963
52.890663147	0	280	1004	3.21202	24.2008688082
84.0821728706	0	290	1042	3.06426	15.223203163
25.0083310604	0	300	1096	2.87717	51.1829436722
33.8123641014	0	310	1143	2.94777	37.8559747009
40.7713348866	0	320	1202	2.94119	31.3946061261
28.5420770645	0	330	1241	3.10157	44.8460704912
39.0207669735	0	340	1304	2.84013	32.8030456416
76.9794008732	0	350	1371	2.91697	16.6278249178
68.866820097	0	360	1409	2.87223	18.5865994422
5.12493395805	0	370	1442	2.73254	249.759316018
25.9681489468	0	380	1491	2.92806	49.2911528898
12.2159581184	0	390	1524	2.7414	104.780974819
32.7663249969	0	400	1568	2.58056	39.0644968613
11.7582669258	0	410	1607	2.85492	108.859580079
11.090626955	0	420	1640	2.90251	115.412771991
100.114646196	0	430	1674	2.78792	12.7853420916
95.5381867886	0	440	1712	2.65149	13.3977841011
67.3646130562	0	450	1751	3.09101	19.0010740347
17.6090221405	0	460	1788	2.57152	72.6900102565
17.0881378651	0	470	1844	2.63554	74.9057627055
5.18256115913	0	480	1868	2.74335	246.98213117
38.1139979362	0	490	1909	2.5379	33.5834619643
41.4711880684	0	500	1960	2.54401	30.8648017966
65.604752779	0	510	2054	2.50911	19.5107815483
