Duration	Worker	LocalStep	GlobalStep	Loss	ExamplesPerSec
25.7077441216	0	10	11	4.60357	49.7904442314
10.9026010036	0	20	42	4.42105	117.403177423
99.2528738976	0	30	78	4.4894	12.8963520121
26.132750988	0	40	110	4.50052	48.9806833038
24.740334034	0	50	147	4.39297	51.7373774438
8.22774004936	0	60	181	4.12761	155.571273803
15.778676033	0	70	239	3.98791	81.1221421443
26.8468658924	0	80	283	3.91672	47.6778185256
36.8391540051	0	90	315	3.93501	34.7456404624
9.51113200188	0	100	346	3.74187	134.579143655
11.9226489067	0	110	388	3.77221	107.358692688
55.8949840069	0	120	424	3.50547	22.9000870604
43.5968921185	0	130	457	3.42126	29.3598909877
59.9962160587	0	140	497	3.79837	21.3346788195
8.12154889107	0	150	530	3.69098	157.605404729
9.77923989296	0	160	566	3.36163	130.889518409
79.4951431751	0	170	597	3.23726	16.1016126127
128.000077963	0	180	633	3.64703	9.99999390915
140.00155592	0	190	667	3.14311	9.14275553291
57.0304069519	0	200	704	3.08475	22.4441673909
31.1901180744	0	210	738	3.07656	41.0386391275
19.8392579556	0	220	781	3.48227	64.5185421182
19.4108371735	0	230	813	3.21688	65.9425448043
17.0403039455	0	240	846	3.21313	75.1160310339
87.4939608574	0	250	881	3.11824	14.6295811443
39.9854981899	0	260	918	2.87226	32.0116056556
13.6060938835	0	270	952	2.74173	94.0754937426
58.2940039635	0	280	993	2.70294	21.9576613883
74.763502121	0	290	1031	2.76692	17.1206533093
40.5379798412	0	300	1068	2.81876	31.5753277547
13.645596981	0	310	1098	2.68404	93.8031514325
9.48704004288	0	320	1127	2.64265	134.920902011
11.2575230598	0	330	1165	2.57403	113.701743554
7.76910090446	0	340	1193	2.47702	164.755229175
34.6560480595	0	350	1234	2.55005	36.9343901475
18.3101811409	0	360	1276	2.66581	69.9064629754
22.1821119785	0	370	1314	2.48921	57.7041537451
15.4919259548	0	380	1355	2.50726	82.6236843458
11.1556339264	0	390	1389	2.38787	114.740229775
35.8577411175	0	400	1425	2.22824	35.6966155734
71.5146410465	0	410	1476	2.26798	17.8984328421
53.8695509434	0	420	1529	2.32735	23.7611039555
9.39092993736	0	430	1564	2.53948	136.301730344
101.41535902	0	440	1614	2.07511	12.6213624087
7.57250595093	0	450	1644	2.12426	169.032551218
8.41615700722	0	460	1678	2.22551	152.088417422
16.5498249531	0	470	1737	2.11557	77.3422077653
13.4614911079	0	480	1771	1.94114	95.0860487695
37.7284250259	0	490	1824	2.19733	33.9266746258
62.1356699467	0	500	1863	1.97468	20.6000836733
61.9170930386	0	510	1901	1.98735	20.6728051526
11.1764819622	0	520	1933	1.81293	114.526199239
118.611037016	0	530	1984	1.88039	10.791575828
15.2599289417	0	540	2031	1.90926	83.8798139158
7.77469205856	0	550	2069	2.10292	164.636745785
9.97111487389	0	560	2104	1.88521	128.370800677
14.9217290878	0	570	2140	2.02106	85.780943513
12.9387719631	0	580	2176	1.79828	98.9274719153
10.4768619537	0	590	2209	1.76361	122.173987369
11.8680400848	0	600	2261	1.7609	107.852685941
8.56963396072	0	610	2290	2.15304	149.364605987
19.0554449558	0	620	2324	1.81748	67.172401535
7.97363615036	0	630	2349	1.95079	160.529020369
71.0159568787	0	640	2387	1.77795	18.0241181878
8.53059005737	0	650	2422	1.71073	150.048237155
80.8719398975	0	660	2477	1.74569	15.8274922256
68.2002060413	0	670	2535	1.76387	18.7682717443
57.035036087	0	680	2600	1.722	22.4423457548
62.7813870907	0	690	2638	1.62084	20.3882083419
69.3140618801	0	700	2669	1.7551	18.4666713403
9.62135100365	0	710	2704	1.57838	133.03744968
143.068299055	0	720	2754	1.62627	8.94677582982
53.6550309658	0	730	2792	1.53427	23.8561040216
64.3902330399	0	740	2834	1.5516	19.8787912323
