Duration	Worker	LocalStep	GlobalStep	Loss	ExamplesPerSec
31.261993885	1	10	28	7.12105	40.9442854063
21.4068069458	1	20	61	4.35547	59.7940647216
46.0130331516	1	30	94	4.35257	27.8182052416
68.1098709106	1	40	128	4.27096	18.7931643811
50.3389229774	1	50	168	4.21781	25.4276397724
108.5547719	1	60	203	4.12782	11.791282664
122.565478086	1	70	240	3.97881	10.4433974393
17.6653630733	1	80	282	3.8345	72.4581767544
83.8655149937	1	90	327	3.69844	15.2625307326
18.7124018669	1	100	362	3.93064	68.4038323409
60.120527029	1	110	408	3.58273	21.2905651905
95.0690581799	1	120	451	3.80374	13.463896924
24.4876818657	1	130	488	3.58298	52.2711789144
17.852793932	1	140	524	3.38666	71.6974611861
48.8731679916	1	150	559	3.48612	26.1902400151
10.7839519978	1	160	609	3.46413	118.694890358
16.9874260426	1	170	643	3.40593	75.3498497532
13.3428881168	1	180	696	3.16876	95.9312548222
12.9095768929	1	190	719	3.26641	99.1511968691
13.4450559616	1	200	757	3.29381	95.2022813185
40.2150940895	1	210	793	3.25884	31.8288450886
31.4058148861	1	220	830	3.24415	40.7567835652
12.9361040592	1	230	868	3.54584	98.947874425
20.8380081654	1	240	903	3.21612	61.4262164523
5.46735477448	1	250	934	3.13302	234.116872381
11.8746311665	1	260	965	3.29136	107.792821693
5.27478504181	1	270	995	2.91319	242.66391708
42.5241940022	1	280	1027	3.15241	30.1005117213
32.6995339394	1	290	1071	3.40208	39.1442887955
15.0244140625	1	300	1139	2.92929	85.1946701332
12.9293208122	1	310	1169	2.79015	98.9997865
41.442553997	1	320	1208	3.13647	30.8861273389
5.38352203369	1	330	1236	2.73647	237.762563613
5.31798601151	1	340	1258	3.02976	240.692622589
36.9809000492	1	350	1288	2.92455	34.6124620628
74.9654018879	1	360	1331	2.90132	17.0745432928
59.069217205	1	370	1368	3.20564	21.6694931906
10.9752078056	1	380	1402	2.80518	116.626493336
64.0265061855	1	390	1452	3.05878	19.9917202462
33.0891039371	1	400	1484	2.74518	38.6834289146
5.82884907722	1	410	1505	2.88542	219.597382441
20.8185098171	1	420	1557	2.88117	61.4837474557
33.0249190331	1	430	1605	2.89681	38.7586112995
55.193516016	1	440	1644	2.70077	23.1911299079
76.6050720215	1	450	1685	2.40185	16.7090763865
9.58879590034	1	460	1721	2.64825	133.489127655
12.8109622002	1	470	1750	2.75262	99.9144310943
5.15679383278	1	480	1781	2.51367	248.216244726
22.8541669846	1	490	1810	2.44946	56.0072918372
39.8080620766	1	500	1847	2.53055	32.1542906946
10.8844430447	1	510	1875	2.69178	117.599035132
58.9535479546	1	520	1917	3.05252	21.7120096145
5.18767690659	1	530	1950	2.40306	246.738573556
39.7627241611	1	540	1994	2.5478	32.1909533867
42.268214941	1	550	2038	2.16906	30.2828023797
39.128385067	1	560	2073	2.41929	32.7128246619
58.7508878708	1	570	2112	2.2512	21.7869047837
84.4088230133	1	580	2169	2.51264	15.1642915314
46.8375980854	1	590	2201	2.34868	27.32847226
63.9491350651	1	600	2279	2.44572	20.0159079352
36.053196907	1	610	2311	2.73468	35.5030929241
86.9752459526	1	620	2352	2.42316	14.7168310475
5.93554711342	1	630	2387	2.32767	215.649876168
48.6680958271	1	640	2428	2.24892	26.3005975115
51.9600441456	1	650	2476	1.92664	24.6343131737
20.4340178967	1	660	2512	2.03466	62.6406420154
11.5729560852	1	670	2545	2.32838	110.602683582
28.6761488914	1	680	2604	2.04028	44.6363981735
37.9177479744	1	690	2640	2.32688	33.757279068
9.96771216393	1	700	2679	2.2468	128.41462303
66.9155578613	1	710	2715	2.62892	19.1285859509
89.0299401283	1	720	2754	2.4161	14.3771859012
13.0600140095	1	730	2789	2.01223	98.009083227
68.7796399593	1	740	2822	2.02658	18.6101584823
48.1006829739	1	750	2870	2.08922	26.6108487627
48.2724640369	1	760	2956	1.91146	26.5161521281
49.7345240116	1	770	2999	2.14856	25.7366492479
11.984333992	1	780	3027	1.92313	106.806102104
30.1881530285	1	790	3072	1.84412	42.4007390844
15.9414288998	1	800	3146	2.0822	80.2939314944
35.8961730003	1	810	3184	1.88762	35.6583973447
41.1257381439	1	820	3235	2.17121	31.1240614216
20.0088529587	1	830	3275	1.92333	63.9716830667
79.9781708717	1	840	3312	2.41159	16.0043670173
53.8754739761	1	850	3352	1.7334	23.758491676
72.9922521114	1	860	3413	2.22817	17.5361077782
36.2759950161	1	870	3458	2.00432	35.2850417868
48.8122010231	1	880	3494	2.00152	26.222951909
40.8401298523	1	890	3550	1.93853	31.3417220912
27.1673359871	1	900	3584	1.99424	47.1154036085
31.0455050468	1	910	3623	2.46858	41.2298011602
27.8295841217	1	920	3659	1.86822	45.9942194753
22.2110860348	1	930	3725	1.85122	57.6288794702
6.82817578316	1	940	3760	1.53557	187.458560038
23.8255021572	1	950	3807	1.67444	53.7239463644
19.0900349617	1	960	3846	1.8831	67.0506891458
42.0192539692	1	970	3884	2.09962	30.4622257439
35.8862681389	1	980	3932	1.89045	35.6682393122
33.1869528294	1	990	4023	1.71442	38.5693741327
5.07497906685	1	1000	4051	1.7089	252.217789106
16.0709519386	1	1010	4114	1.71389	79.6468065419
31.9580521584	1	1020	4152	1.97042	40.0525036275
23.0335738659	1	1030	4194	1.71244	55.5710549936
27.7740061283	1	1040	4234	1.74887	46.0862575635
26.0260310173	1	1050	4268	1.91566	49.1815290295
27.0448718071	1	1060	4298	1.6931	47.3287508674
72.1144070625	1	1070	4347	1.74351	17.7495739359
