Duration	Worker	LocalStep	GlobalStep	Loss	ExamplesPerSec
25.2579188347	3	10	49	4.43805	50.6771760721
26.612416029	3	20	86	4.42764	48.0978502142
8.90337991714	3	30	118	4.21345	143.765627426
31.056166172	3	40	165	4.13933	41.2156475757
11.0646338463	3	50	198	3.98288	115.683900415
18.6101560593	3	60	227	3.89901	68.7796489145
8.05139994621	3	70	258	3.74185	158.978563796
8.81867098808	3	80	289	3.67035	145.146587477
7.83783507347	3	90	324	3.75768	163.310402426
45.2834041119	3	100	363	3.81203	28.2664261909
16.0304808617	3	110	400	3.54997	79.847885478
17.006082058	3	120	447	3.74072	75.2671894466
7.93161606789	3	130	472	4.77031	161.379470343
50.9843788147	3	140	515	3.45977	25.105729044
22.2634880543	3	150	563	3.47204	57.4932372178
10.5381791592	3	160	603	3.64524	121.463108633
91.69577384	3	170	637	3.19356	13.9592038586
9.46918511391	3	180	675	3.56581	135.175306492
19.5140929222	3	190	743	3.10902	65.593620216
33.8090369701	3	200	775	3.49969	37.8597000894
70.7098920345	3	210	809	3.15948	18.1021348381
62.0061221123	3	220	844	3.01322	20.643122911
8.61184477806	3	230	873	3.09156	148.632497797
18.0235021114	3	240	929	3.02851	71.0183843343
9.91701507568	3	250	964	2.9882	129.071095509
40.1618330479	3	260	1002	2.83808	31.8710552498
59.2770059109	3	270	1041	4.15434	21.5935332821
155.000828981	3	280	1085	2.95889	8.25802035003
31.4096860886	3	290	1132	2.76813	40.7517603452
30.0110728741	3	300	1168	2.75798	42.6509243895
7.62880110741	3	310	1201	2.60731	167.785210543
69.8576078415	3	320	1240	2.4388	18.3229864227
78.2652130127	3	330	1276	2.60956	16.354647879
13.5959219933	3	340	1325	2.22526	94.1458770236
41.2597169876	3	350	1364	2.39226	31.0229951501
52.0496351719	3	360	1417	2.46577	24.591911082
55.4597640038	3	370	1458	2.3847	23.0797952893
7.89569187164	3	380	1483	2.14543	162.11372237
39.6802229881	3	390	1518	2.17743	32.2578832378
