Duration	Worker	LocalStep	GlobalStep	Loss	ExamplesPerSec
27.9593122005	1	10	25	4.69066	45.7808114455
12.1394000053	1	20	39	4.29174	105.441784556
13.6659009457	1	30	58	4.366	93.6637844142
16.5364940166	1	40	78	4.21881	77.4045573815
8.45893883705	1	50	98	4.04904	151.319216826
9.21813511848	1	60	119	4.20064	138.856719233
9.62326598167	1	70	138	4.08263	133.010975945
10.3836131096	1	80	158	3.95714	123.271156821
9.31934380531	1	90	169	3.98926	137.348726127
8.41662406921	1	100	181	4.04112	152.07997761
8.93090391159	1	110	201	3.8364	143.322558687
8.85671901703	1	120	217	3.69894	144.523044881
12.5945301056	1	130	238	3.75715	101.631421678
13.7989881039	1	140	264	3.92377	92.7604249214
12.4922099113	1	150	290	3.69665	102.463856202
8.43938994408	1	160	309	3.52928	151.669730689
9.16832995415	1	170	324	3.69615	139.611031278
10.3165769577	1	180	339	3.58596	124.072161265
20.1099572182	1	190	359	3.56766	63.6500608188
8.33895778656	1	200	377	3.45907	153.496400001
9.31921005249	1	210	393	3.50153	137.350697408
16.7830750942	1	220	420	3.31437	76.2673105384
7.97298908234	1	230	438	3.36456	160.542048507
13.0081019402	1	240	460	3.27584	98.4002128742
18.4661049843	1	250	487	3.18462	69.3161877445
8.41371393204	1	260	511	3.27073	152.132579065
7.97835493088	1	270	527	3.35118	160.434075833
18.0106852055	1	280	552	3.12129	71.0689229976
13.3667528629	1	290	570	3.01656	95.7599809861
16.9438669682	1	300	583	3.5188	75.5435581739
8.11016201973	1	310	603	3.2599	157.826686679
8.49677205086	1	320	623	3.01265	150.645444216
14.1221020222	1	330	646	3.06644	90.6380649276
8.16202902794	1	340	659	3.18421	156.823750028
10.1435849667	1	350	678	2.94326	126.188128182
9.70299386978	1	360	692	3.0894	131.91804686
12.5281670094	1	370	717	2.9017	102.16977464
9.39148020744	1	380	732	2.79608	136.293744088
9.37353396416	1	390	755	3.07495	136.554687367
7.94132995605	1	400	773	2.91656	161.18206989
14.0995869637	1	410	787	2.81547	90.7828011771
11.1858019829	1	420	807	2.72882	114.430775903
7.90780496597	1	430	827	3.13634	161.865398237
13.2082071304	1	440	849	2.67326	96.9094432999
11.4264979362	1	450	873	2.67334	112.020323912
8.06810808182	1	460	887	2.56941	158.649337245
15.3061800003	1	470	913	2.73592	83.6263522299
8.00090789795	1	480	932	2.66543	159.981844101
13.6580688953	1	490	957	2.71714	93.7174947504
9.92297911644	1	500	979	2.46349	128.993519484
11.3760530949	1	510	999	2.39896	112.517055725
8.20070290565	1	520	1015	2.6753	156.084181408
23.5325629711	1	530	1038	2.53914	54.3927153864
12.2751550674	1	540	1064	2.6795	104.275668451
9.68699288368	1	550	1079	2.51476	132.135949243
9.2572581768	1	560	1100	2.37233	138.269882459
7.93871593475	1	570	1120	2.40051	161.235143129
9.21978998184	1	580	1134	2.2606	138.831795792
9.09801197052	1	590	1156	2.37843	140.690076486
19.355257988	1	600	1184	2.59226	66.131900737
12.9862980843	1	610	1209	2.27982	98.5654257815
10.3459649086	1	620	1232	2.53928	123.719731442
9.5054731369	1	630	1253	2.25968	134.659262255
19.6152877808	1	640	1274	2.42828	65.2552241041
12.8928251266	1	650	1289	2.33833	99.2800249306
11.3180558681	1	660	1308	2.27965	113.093627997
8.33281803131	1	670	1324	2.47366	153.609498634
15.1093370914	1	680	1351	1.93229	84.7158278522
13.1096708775	1	690	1377	2.26178	97.6378439981
8.49433922768	1	700	1397	2.11859	150.688589859
14.8771808147	1	710	1418	2.10947	86.0378062174
14.2241630554	1	720	1445	2.19809	89.9877198407
9.2904689312	1	730	1461	2.29775	137.775607397
9.08656215668	1	740	1482	2.18404	140.867357525
9.26810693741	1	750	1502	1.85386	138.108030976
8.07994008064	1	760	1520	1.89229	158.417016367
9.58479595184	1	770	1541	2.09168	133.544835637
12.1852049828	1	780	1561	1.82004	105.045422035
11.7248020172	1	790	1582	1.94804	109.170286894
13.2061588764	1	800	1603	2.00978	96.9244737988
12.4390490055	1	810	1617	1.81506	102.901757155
8.04842209816	1	820	1631	1.84716	159.037384519
13.264332056	1	830	1646	2.38517	96.4993936062
12.5657968521	1	840	1665	2.04628	101.863814533
7.77339601517	1	850	1676	1.9491	164.664195353
18.603438139	1	860	1703	2.00932	68.8044860546
23.322660923	1	870	1728	1.78746	54.8822453933
9.21428108215	1	880	1750	1.86146	138.914798516
7.47044587135	1	890	1767	1.83737	171.341847869
13.3773901463	1	900	1784	1.84915	95.6838356365
7.75647091866	1	910	1804	1.94007	165.023502753
11.9138600826	1	920	1820	2.62209	107.437890921
8.48811578751	1	930	1847	1.87113	150.79907391
7.5821750164	1	940	1867	2.13371	168.816994758
11.8976991177	1	950	1888	1.84255	107.5838267
17.8631169796	1	960	1908	1.7136	71.6560274146
30.7411649227	1	970	1950	1.89578	41.6379796673
9.06418013573	1	980	1978	1.80618	141.215198819
9.391466856	1	990	1997	1.70821	136.293937851
10.1154370308	1	1000	2018	1.84055	126.539268259
7.51427698135	1	1010	2032	1.64552	170.342403291
8.89764714241	1	1020	2052	1.85919	143.858255954
9.77900481224	1	1030	2074	1.5629	130.892664906
20.2036261559	1	1040	2089	1.69782	63.3549636152
9.70630884171	1	1050	2111	1.70686	131.872993212
11.0227050781	1	1060	2134	2.26632	116.123945159
10.5761239529	1	1070	2155	1.57508	121.027325862
11.1493849754	1	1080	2180	1.61125	114.804538799
11.426525116	1	1090	2197	1.70267	112.020057455
10.2300519943	1	1100	2211	1.67867	125.121553704
8.15442109108	1	1110	2230	1.51209	156.970063933
28.3471479416	1	1120	2247	1.6826	45.1544544318
8.74685692787	1	1130	2268	1.64654	146.338280202
17.5118420124	1	1140	2297	1.65157	73.0933958343
11.0971300602	1	1150	2318	1.39678	115.345138162
8.32363605499	1	1160	2334	1.77311	153.778948472
13.3843128681	1	1170	2362	1.67986	95.6343454171
8.01555395126	1	1180	2376	1.47212	159.689524615
15.34593606	1	1190	2397	1.69979	83.4097050189
13.0083041191	1	1200	2421	1.43595	98.3986835086
23.0144598484	1	1210	2445	1.64249	55.6172079828
22.3089540005	1	1220	2484	1.6739	57.3760652325
8.38827013969	1	1230	2504	1.23677	152.594036516
9.09027290344	1	1240	2525	1.5228	140.809853961
13.4283149242	1	1250	2553	1.49977	95.3209696988
8.32195520401	1	1260	2571	1.65243	153.81000842
17.4980978966	1	1270	2601	1.39257	73.150808023
11.1339879036	1	1280	2622	1.42687	114.963300758
11.1390800476	1	1290	2638	1.90032	114.910746177
11.6937830448	1	1300	2658	1.40441	109.459872404
29.0215089321	1	1310	2691	1.43885	44.1052187532
20.7721271515	1	1320	2720	1.34205	61.6210362408
8.76621890068	1	1330	2742	1.39306	146.015062423
8.34274291992	1	1340	2755	1.48871	153.426758116
12.3696210384	1	1350	2777	1.31559	103.479322125
