Duration	Worker	LocalStep	GlobalStep	Loss	ExamplesPerSec
25.4305899143	0	10	9	4.59877	50.3330832793
12.4423379898	0	20	19	4.45965	102.874556297
12.3744671345	0	30	29	4.40357	103.438797492
12.4081618786	0	40	39	4.3621	103.157906266
12.1920049191	0	50	49	4.42775	104.986834282
12.1849780083	0	60	59	4.27657	105.047378759
12.373057127	0	70	69	4.14331	103.45058516
12.2558128834	0	80	79	4.16868	104.440236823
12.7920660973	0	90	89	4.11484	100.062022059
12.1740939617	0	100	99	4.17713	105.141294623
12.4888839722	0	110	109	4.03362	102.491143552
12.1404089928	0	120	119	4.01582	105.433021306
12.194122076	0	130	129	3.94582	104.968606351
12.455960989	0	140	139	3.89719	102.7620431
12.2914450169	0	150	149	3.92176	104.137471082
12.4180579185	0	160	159	3.97176	103.075698986
12.1779651642	0	170	169	4.05674	105.107871696
12.199846983	0	180	179	3.80723	104.919348725
13.031801939	0	190	189	3.91119	98.2212594997
12.3295919895	0	200	199	3.89998	103.815276376
12.477257967	0	210	209	3.83784	102.586642304
12.2361989021	0	220	219	3.84622	104.607649012
12.2641642094	0	230	229	3.7661	104.369117875
12.1617958546	0	240	239	3.87573	105.247614358
12.3470389843	0	250	249	3.57428	103.668580105
12.4025900364	0	260	259	3.74434	103.204249777
12.1552131176	0	270	269	3.59457	105.304611907
12.4544608593	0	280	279	3.54964	102.774420704
12.6925859451	0	290	289	3.36044	100.846274001
12.3141682148	0	300	299	3.38651	103.945307362
12.477617979	0	310	309	3.49362	102.58368241
12.314868927	0	320	319	3.41103	103.939392907
12.5091910362	0	330	329	3.50926	102.324762352
12.2719650269	0	340	339	3.253	104.302774429
12.3518469334	0	350	349	3.34254	103.628227172
12.5321340561	0	360	359	3.39809	102.1374328
12.4386348724	0	370	369	3.34876	102.905183175
12.8900210857	0	380	379	3.56392	99.3016218892
12.3476018906	0	390	389	3.52304	103.66385403
12.5918262005	0	400	399	3.49809	101.653245496
12.2919747829	0	410	409	3.44291	104.13298291
12.3402910233	0	420	419	3.18899	103.72526852
12.7760901451	0	430	429	3.34431	100.187145321
12.6114919186	0	440	439	3.22241	101.494732603
12.558519125	0	450	449	3.51672	101.922845143
12.569414854	0	460	459	3.07673	101.834493878
