Duration	Worker	LocalStep	GlobalStep	Loss	ExamplesPerSec
0.0	0	10	34009	0.739172	83.956860881
0.0	0	20	34019	0.828135	309.390835853
0.0	0	30	34029	0.710071	311.037680586
0.0	0	40	34039	0.747181	318.45208125
0.0	0	50	34049	0.781018	318.120464508
0.0	0	60	34059	0.7299	318.801540544
0.0	0	70	34069	0.808123	314.835835502
0.0	0	80	34079	0.716507	325.714816829
0.0	0	90	34089	0.775996	318.501541396
0.0	0	100	34099	0.669939	331.422051101
0.0	0	110	34109	0.82376	326.713041863
0.0	0	120	34119	0.950346	320.727165934
0.0	0	130	34129	0.797297	333.438592767
0.0	0	140	34139	0.6726	326.211966509
0.0	0	150	34149	0.795218	326.209231207
0.0	0	160	34159	0.595034	327.918493455
0.0	0	170	34169	0.73959	329.38617778
0.0	0	180	34179	0.849078	328.064650998
0.0	0	190	34189	0.794249	329.119496038
0.0	0	200	34199	0.680428	318.576686732
0.0	0	210	34209	0.791001	314.560850374
0.0	0	220	34219	0.595193	327.467318132
0.0	0	230	34229	0.710841	331.14928598
0.0	0	240	34239	0.694541	320.892086494
0.0	0	250	34249	0.806646	314.525983545
0.0	0	260	34259	0.715412	332.870537408
0.0	0	270	34269	0.780061	325.843253559
0.0	0	280	34279	0.809544	311.348783348
0.0	0	290	34289	0.702789	332.755867425
0.0	0	300	34299	0.647968	326.471890609
0.0	0	310	34309	1.0148	325.921507851
0.0	0	320	34319	0.801172	336.141433238
0.0	0	330	34329	0.798474	334.806051731
0.0	0	340	34339	0.712244	326.930338995
0.0	0	350	34349	0.839198	330.285331172
0.0	0	360	34359	0.660739	332.177287965
0.0	0	370	34369	0.729616	321.200970224
0.0	0	380	34379	0.703873	329.493036236
0.0	0	390	34389	0.676716	321.745210852
0.0	0	400	34399	0.893191	325.80876714
0.0	0	410	34409	0.908691	313.852263857
0.0	0	420	34419	0.543516	311.62242944
0.0	0	430	34429	0.930723	314.809177422
0.0	0	440	34439	0.87149	324.723851524
0.0	0	450	34449	0.708669	324.498355419
0.0	0	460	34459	0.809802	324.054247532
0.0	0	470	34469	0.846405	326.018705464
0.0	0	480	34479	0.874288	321.131189527
0.0	0	490	34489	0.816363	320.438355249
0.0	0	500	34499	0.703888	316.82486166
0.0	0	510	34509	0.84144	324.030210257
0.0	0	520	34519	0.686738	310.924501773
0.0	0	530	34529	0.829578	314.088226892
0.0	0	540	34539	0.768873	317.821500614
0.0	0	550	34549	0.819232	316.398978275
0.0	0	560	34559	0.862021	315.774692754
0.0	0	570	34569	0.699858	312.716449194
0.0	0	580	34579	0.784926	303.462578618
0.0	0	590	34589	0.727807	324.447525188
0.0	0	600	34599	0.746555	324.376483684
0.0	0	610	34609	0.741927	322.766750903
0.0	0	620	34619	0.765341	322.483535269
0.0	0	630	34629	0.765486	322.069051531
0.0	0	640	34639	0.814594	323.392542052
0.0	0	650	34649	0.768462	314.43844512
0.0	0	660	34659	0.809402	311.717600719
0.0	0	670	34669	0.873959	318.970436689
0.0	0	680	34679	0.775014	307.028948811
0.0	0	690	34689	0.834213	318.775664123
0.0	0	700	34699	0.844077	313.96025863
0.0	0	710	34709	0.664819	320.040498136
0.0	0	720	34719	0.74287	321.76406985
0.0	0	730	34729	0.769192	322.060627824
0.0	0	740	34739	0.829311	315.157898024
0.0	0	750	34749	0.566856	312.843478241
0.0	0	760	34759	0.803543	324.092315475
0.0	0	770	34769	0.732317	321.408089159
0.0	0	780	34779	0.69636	310.712866253
0.0	0	790	34789	0.706034	319.852706074
0.0	0	800	34799	0.874199	320.209334849
0.0	0	810	34809	0.781696	318.298376816
0.0	0	820	34819	0.779931	320.116371497
0.0	0	830	34829	0.896484	315.867418396
0.0	0	840	34839	0.805251	312.435697116
0.0	0	850	34849	0.848229	316.441927285
0.0	0	860	34859	0.749634	319.553750466
0.0	0	870	34869	0.680329	321.547941029
0.0	0	880	34879	0.903179	309.402407787
0.0	0	890	34889	0.691412	321.14536608
0.0	0	900	34899	0.825182	326.873669055
0.0	0	910	34909	0.766657	312.644188376
0.0	0	920	34919	0.810553	329.622244352
0.0	0	930	34929	0.869522	318.817916602
0.0	0	940	34939	0.779151	317.074811326
0.0	0	950	34949	0.710415	321.5270277
0.0	0	960	34959	0.809562	326.121210678
0.0	0	970	34969	0.800313	336.408658973
0.0	0	980	34979	0.654965	322.777831387
0.0	0	990	34989	0.589699	322.666032959
0.0	0	1000	34999	0.862473	320.310607748
0.0	0	1010	35009	0.660988	274.031200518
0.0	0	1020	35019	0.751693	327.132217262
0.0	0	1030	35029	0.602893	323.901478902
0.0	0	1040	35039	0.747527	317.929646512
0.0	0	1050	35049	0.748959	322.724589923
0.0	0	1060	35059	0.707981	329.560308108
0.0	0	1070	35069	0.876505	328.043803461
0.0	0	1080	35079	0.734695	331.132067977
0.0	0	1090	35089	0.823766	321.10685411
0.0	0	1100	35099	0.704716	332.531975187
0.0	0	1110	35109	0.779699	329.475808053
0.0	0	1120	35119	0.723443	321.682883902
0.0	0	1130	35129	0.962527	326.699880419
0.0	0	1140	35139	0.823971	321.583881335
0.0	0	1150	35149	0.696766	320.75690543
0.0	0	1160	35159	0.833964	319.628593955
0.0	0	1170	35169	0.698708	320.133092899
0.0	0	1180	35179	0.819672	312.016356145
0.0	0	1190	35189	0.725076	315.921135363
0.0	0	1200	35199	0.806731	325.173933871
0.0	0	1210	35209	0.595487	315.572115809
0.0	0	1220	35219	0.790495	306.060480919
0.0	0	1230	35229	0.64591	320.29146014
0.0	0	1240	35239	0.838225	320.718409929
0.0	0	1250	35249	0.787014	318.969887112
0.0	0	1260	35259	0.830728	331.182460702
0.0	0	1270	35269	0.855407	333.994377343
0.0	0	1280	35279	0.724404	321.558591311
0.0	0	1290	35289	0.809836	318.745174332
0.0	0	1300	35299	0.93272	324.725481716
0.0	0	1310	35309	0.805551	317.559553036
0.0	0	1320	35319	1.02336	318.32142019
0.0	0	1330	35329	0.828142	324.249944602
0.0	0	1340	35339	0.828225	325.740033599
0.0	0	1350	35349	0.810024	321.897495785
0.0	0	1360	35359	0.822265	329.945718561
0.0	0	1370	35369	0.817117	325.956196254
0.0	0	1380	35379	0.809416	319.909540959
0.0	0	1390	35389	0.768263	327.431229008
0.0	0	1400	35399	0.814963	318.58880478
0.0	0	1410	35409	0.709508	317.3265999
0.0	0	1420	35419	0.806169	327.930671614
0.0	0	1430	35429	0.778229	323.259586936
0.0	0	1440	35439	0.803131	332.506931526
0.0	0	1450	35449	0.882531	334.779328311
0.0	0	1460	35459	0.720572	330.094541641
0.0	0	1470	35469	0.84318	326.996488724
0.0	0	1480	35479	0.682322	319.723121093
0.0	0	1490	35489	0.774662	330.145451433
0.0	0	1500	35499	0.939553	325.503631542
0.0	0	1510	35509	0.784102	329.266362892
0.0	0	1520	35519	0.740881	335.751625644
0.0	0	1530	35529	0.661411	331.486858696
0.0	0	1540	35539	0.846956	329.703417887
0.0	0	1550	35549	0.723563	324.807719626
0.0	0	1560	35559	0.610888	329.502520595
0.0	0	1570	35569	0.694471	320.135498176
0.0	0	1580	35579	0.907557	321.104837528
0.0	0	1590	35589	0.741957	321.336525924
0.0	0	1600	35599	0.899112	318.371047432
0.0	0	1610	35609	0.717759	323.721172994
0.0	0	1620	35619	0.974828	322.219941399
0.0	0	1630	35629	0.848732	335.010041798
0.0	0	1640	35639	0.885789	333.958891906
